방향,전처리,train,n,MAE,RMSE,R2
NB,① 전처리 없음,932,540,137.68078372767917,193.0696944031183,0.5373606778982278
NB,② IQR 제거,917,533,134.62644421991567,185.58513500328942,0.5221388489252927
NB,③ 윈저화 1/99%,932,540,138.4676731001053,193.0774831533543,0.5373233498771364
NB,④ 물리적 근거 제외,932,540,137.69582613078794,193.127684128229,0.5370827227667672
NB,⑤ 평소값 차감,932,540,141.8912063407219,193.34687105020777,0.5360313665948863
NB,⑥ 부호보존 로그변환,932,540,185.03666593813244,259.3924339954267,0.16491836412005434
NB,⑦ 평소값 피처 추가,932,540,132.59906585598685,181.99187897639646,0.5889275774827009
NB,⑧ 평소값 피처 + 윈저화,932,540,131.86364667598136,181.07754473378645,0.5930476891345522
SB,① 전처리 없음,712,261,95.5974555561267,138.4251754394983,0.3804629446033819
SB,② IQR 제거,629,243,83.63049986015069,120.2604497785816,0.3325591525815904
SB,③ 윈저화 1/99%,712,261,95.28773158827637,137.62496003503895,0.3876051443851375
SB,④ 물리적 근거 제외,662,261,97.53224745619194,141.69748483974197,0.35082557036688
SB,⑤ 평소값 차감,712,261,98.26660282115581,143.81337412276088,0.3312933016036197
SB,⑥ 부호보존 로그변환,712,261,107.52091232909157,151.9904333216501,0.25308767074754157
SB,⑦ 평소값 피처 추가,712,261,92.90070285164822,135.88017976725095,0.4030343424898807
SB,⑧ 평소값 피처 + 윈저화,712,261,92.14971105939222,134.9201949664572,0.4114395945167648
